url,price,title
https://www.olx.com.pk/item/ramzan-offer-hp-elitebook-3rd-genration-core-i5-320gb-hdd-IDWg8Kl.html,"Rs 20,999",Ramzan Offer HP EliteBook 3rd Genration Core i5 - 320GB HDD
https://www.olx.com.pk/item/engenius-ews5912fp-wireless-controller-IDWg8Kq.html,"Rs 35,000",Engenius EWS5912FP Wireless Controller
https://www.olx.com.pk/item/laptop-table-a6-standing-desk-comes-with-height-adjustability-knob-it-IDWeHuR.html,"Rs 2,499",Laptop Table A6 standing desk comes with height adjustability knob. It
https://www.olx.com.pk/item/a-grade-fresh-stock-hp-core-i5-2nd-gen-laptop-cod-also-available-IDWfk3a.html,"Rs 17,500",A Grade Fresh Stock Hp Core i5 2nd Gen Laptop COD Also Available
https://www.olx.com.pk/item/laptop-inbox-17-inch-lcd-sale-exchange-with-android-IDWg8Le.html,"Rs 3,000",Laptop inbox 17 inch lcd sale/exchange with android
https://www.olx.com.pk/item/e-commerce-website-development-services-web-design-seo-service-IDWg8Ll.html,"Rs 9,999",E-Commerce Website Development Services // Web Design // SEO Service
https://www.olx.com.pk/item/hp-elitebook-core-i5-2nd-genration-320gb-hdd-dvd-super-90days-warranty-IDWg8Lm.html,"Rs 19,500",Hp EliteBook Core i5 2nd Genration 320GB HDD DVD Super 90Days Warranty
https://www.olx.com.pk/item/zong-4g-zong-4g-zong-4g-wingle-wifi-lte-device-new-box-pack-free-del-IDW399e.html,"Rs 1,880",Zong 4g/ Zong 4g/zong 4g/wingle Wifi Lte Device New Box Pack Free Del
https://www.olx.com.pk/item/lenovo-core-i5-2nd-gen-intell-hd-graphics-3000-with-90-days-warranty-IDWg8M4.html,"Rs 13,999",Lenovo Core i5 2nd Gen intell HD Graphics 3000 With 90 Days Warranty
https://www.olx.com.pk/item/thingpad-lenovo-t440-torch-IDWg8M0.html,"Rs 35,000",Thingpad lenovo t440 torch
https://www.olx.com.pk/item/siemens-gigaset-c100-cordless-phone-single-line-IDUOw7v.html,"Rs 5,500","Siemens Gigaset C100 Cordless Phone,single-line"
https://www.olx.com.pk/item/unbelievable-price-of-asus-zenbook-core-i5-third-gen-with-touch-IDW8vgB.html,"Rs 28,500","Unbelievable price of Asus ZenBook core i5 third gen, with touch"
https://www.olx.com.pk/item/laptop-e-table-some-with-wooden-tops-over-softer-bean-bag-like-bottom-IDWg8MZ.html,"Rs 1,599","Laptop E Table some with wooden tops over softer, bean bag like bottom"
https://www.olx.com.pk/item/projector-sony-dx-240-IDWcdmN.html,"Rs 60,000",Projector Sony DX-240
https://www.olx.com.pk/item/hp-c7670a-scanjet-a4-usb-flatbed-scanner-with-adf-IDUYzPh.html,"Rs 3,500",HP C7670A ScanJet A4 USB Flatbed Scanner With ADF
https://www.olx.com.pk/item/sana-enterprise-available-dell-mini-2120-black-smart-notebook-IDWfkF3.html,"Rs 8,000",Sana Enterprise Available Dell Mini 2120 Black Smart Notebook
https://www.olx.com.pk/item/core-2duo-hp-computer-IDWg7pF.html,"Rs 10,000",Core 2Duo Hp Computer
https://www.olx.com.pk/item/macbook-air-10-10-condition-IDWg8NU.html,"Rs 70,000",MacBook Air 10/10 Condition
https://www.olx.com.pk/item/web-design-online-shoping-store-web-development-seo-domain-reg-IDWg8Nu.html,"Rs 9,999",Web Design | Online Shoping Store | Web Development | SEO | Domain Reg
https://www.olx.com.pk/item/core-i5-laptops-disply-15-6-inch-3-month-warranty-4gb-ram-IDWg8Ni.html,"Rs 13,999",Core i5 Laptops Disply 15.6 inch 3 Month Warranty 4GB RAM
https://www.olx.com.pk/item/reffel-branded-laptop-IDURkeo.html,"Rs 3,000",Reffel Branded Laptop
https://www.olx.com.pk/item/laptop-table-a6-structure-to-provide-a-supportable-space-to-the-machi-IDWfM7i.html,"Rs 2,499",Laptop Table A6 structure- to provide a supportable space to the machi
https://www.olx.com.pk/item/amd-a10-hp-system-IDWfM6Z.html,"Rs 9,000",AMD A10 Hp System
https://www.olx.com.pk/item/dell-led-22-monitor-IDWfM9b.html,"Rs 15,000","Dell Led 22"" monitor"
https://www.olx.com.pk/item/hp-stream-13-3-classy-laptop-IDWfM5B.html,"Rs 16,000","HP Stream 13.3"" Classy Laptop"
https://www.olx.com.pk/item/hair-laptop-full-new-dibba-IDWfM6R.html,"Rs 30,000",Hair laptop full new dibba
https://www.olx.com.pk/item/tower-server-dell-2950-IDWfMcs.html,"Rs 30,000",Tower Server Dell 2950
